episode,reward
1,-163.76999999999992
2,-147.31070550282774
3,-10.09
4,-10.1
5,-10.09
6,-10.08
7,-10.069999999999999
8,-10.1
9,-10.09
10,-10.09
11,-10.06
12,-10.069999999999999
13,-177.75999999999982
