1,-97
2,-90.5
3,-88
4,22.5
5,-67.5
6,-21.5
7,-6
8,-65
9,-86
10,-87
11,-86.5
12,-87
13,-98.5
14,-76
15,-50
16,-51
17,-96.5
18,-97
19,-93.5
20,183.8
21,-37.3
22,-39.5
23,-44.5
24,-66
25,-76.5
26,-92
27,-92
28,-96.5
29,-97
30,-93.5
31,-81.5
32,-65.5
33,-92
34,-86.5
35,-78.2
36,-87
37,-65.5
38,-66.5
39,-100
40,-92
41,-100
42,-94
43,-80
44,-76.7
45,-66.5
46,-42.6
47,-80
48,-33
49,-58.8
50,-58.5
51,-100
52,-89.7
53,-92
54,-81.4
55,-47.5
56,-59.5
57,-97
58,-69
59,-73
60,-73.6
61,-68.5
62,-57
63,-95
64,-84
65,-81.5
66,-98.5
67,-97
68,-91
69,-14.3
70,-26.9
71,-64.9
72,-95.5
73,-97
74,-91.5
75,-79.5
76,-61
77,-86.5
78,-61
79,-83.5
80,-90.5
81,-81
82,-88.7
83,-47.8
84,-45
85,-80.7
86,-79.9
87,-66.7
88,-42.4
89,-97
90,-65.1
91,-35.4
92,-41.9
93,-98.5
94,-100
95,-98.5
96,-97
97,-98.5
98,-91
99,-94.5
100,-98.5
101,-100
102,-83.3
103,-84.5
104,-83
105,-90.5
106,-94
107,-86
108,-42.5
109,-81
110,-58.5
111,-79.5
112,-86.5
113,-95.5
114,-100
115,-90.5
116,-6.1
117,-29
118,-19
119,-80
120,-62
121,-57.5
122,-49.2
123,-29.8
124,-51.5
125,-38.1
126,-43.9
127,-75
128,-92.5
129,-38.9
130,-41.7
131,-33.5
132,-73.2
133,-82.5
134,-95
135,-100
136,-87.5
137,-87
138,-48.5
139,-60.5
140,-74.5
141,-83.5
142,-80.2
143,-75.5
144,-68.7
145,-96.5
146,-97
147,-95
148,-98.5
149,-95
150,-83.5
151,-79.4
152,-84.5
153,-85
154,-93.5
155,-69
156,-100
157,-39.8
158,-55.2
159,-87.5
160,-74.2
161,-86
162,-78.7
163,-80.3
164,-68
165,-88
166,-62
167,-92.5
168,-79.5
169,-77.5
170,-54.4
171,-100
172,-97
173,-98.5
174,-95
175,-59.5
176,-95.5
177,-95
178,-56.4
179,-29.1
180,-78.5
181,-98.5
182,-93.5
183,-98.5
184,-63
185,-56.5
186,-70.4
187,-50.2
188,-89.5
189,-73.8
190,-68
191,-71.9
192,-88.5
193,-93.5
194,-87
195,-85.5
196,-54.7
197,-30.3
198,-76
199,-56.6
200,-60.7
201,-89.5
202,-81.2
203,-92.5
204,-83
205,-88.5
206,-93.5
207,-100
208,-96.5
209,-97
210,-79.5
211,-37.8
212,-38.5
213,-42.6
214,-20.1
215,-71.7
216,-61
217,-64.5
218,-95
219,-90.5
220,-44
221,-75
222,-96.5
223,-90.5
224,-89.5
225,-89
226,-65.7
227,-71
228,-92
229,-49.6
230,-58
231,-75
232,-75
233,-79
234,-65
235,-76.5
236,-95.5
237,-71
238,-0.6
239,-36
240,-75
241,-97
242,-32.7
243,-89
244,-94
245,-94
246,-89
247,-97.5
248,-100
249,-82
250,-94.5
251,-79
252,46.1
253,-95.5
254,-87
255,-98.5
256,-100
257,-97
258,-95.5
259,-94
260,-98.5
261,-93
262,-95
263,-91.5
264,-100
265,-92
266,-89.5
267,-100
268,-87
269,-100
270,-91.5
271,-87.4
272,-93
273,-100
274,-77.4
275,-58
276,-77
277,-54.7
278,-70.5
279,-42.6
280,-89.4
281,-84
282,-88.5
283,-81.5
284,-81
285,-73
286,-66.9
287,-53
288,-67.5
289,-65
290,-73.5
291,-90
292,-91
293,-92
294,-82
295,-82
296,-100
297,-20.1
298,-72.5
299,-64
300,37
301,-82.5
302,-47
303,-48.5
304,-43.9
305,-93
306,-66.1
307,-77
308,-85.7
309,-89.1
310,-98.5
311,-100
312,-69.7
313,-71
314,-35
315,-98.5
316,-97
317,-82.5
318,-65.3
319,-91.5
320,-87.1
321,-27.9
322,63.59
323,-89
324,-83.5
325,-72.8
326,-93.5
327,-95
328,-95.5
329,-83.5
330,-87
331,-69
332,-70
333,-88.5
334,-86.5
335,-87
336,-93
337,-29.7
338,-26.5
339,-57
340,-42.4
341,-63
342,-86
343,-20.6
344,-75
345,-45.9
346,-84.5
347,-74.5
348,-93.5
349,-73
350,-91
351,-92
352,-80
353,-98.5
354,-96.5
355,-49.5
356,-57
357,-100
358,-89.5
359,-93.5
360,-18.4
361,-98.5
362,-93.5
363,-61
364,-86.5
365,-85.5
366,-55.4
367,-64.5
368,-81
369,-45.2
370,-98.5
371,-61
372,-81
373,-79
374,-78
375,-89.5
376,-78
377,-98.5
378,-95.5
379,-50
380,-73.5
381,-70.2
382,-60.4
383,-85.5
384,-97
385,-81
386,-90
387,-88
388,-53.5
389,-55
390,-13.2
391,-88.5
392,-66.9
393,-54
394,-49
395,-55
396,-100
397,-92.5
398,-14.9
399,20
400,-65.5
401,-97
402,-73.5
403,-85
404,-78
405,-92.5
406,-10.5
407,-54.9
408,-66.9
409,-100
410,-100
411,-87.5
412,-86.7
413,-94
414,-96
415,-89.5
416,-71
417,-95.5
418,-98.5
419,-88.5
420,-87
421,-27.5
422,-48
423,-39.1
424,-95.5
425,-86
426,-100
427,-86.6
428,-97
429,-98.5
430,-18
431,0
432,0
433,5.5
434,-72
435,-79.5
436,-72
437,-100
438,-23.7
439,-66
440,-39.8
441,-71.5
442,-81.6
443,-77
444,-56.9
445,-40
446,-66
447,-92
448,-50.9
449,-77.9
450,-96.5
451,-93.5
452,-69.5
453,-15.5
454,-66
455,-98.5
456,-100
457,-98.5
458,-51.1
459,-89
460,-83.5
461,-84
462,-53.7
463,-86
464,-61.5
465,-59.8
466,-87.5
467,-84.5
468,-48.5
469,-46.2
470,-58.3
471,-44
472,-78
473,-82.7
