episode,reward
1,-27.9
2,63.599999999999994
3,-89.0
4,-83.5
5,-72.8
6,-93.5
7,-95.0
8,-95.5
9,-83.5
10,-87.0
11,-69.0
12,-70.0
13,-88.5
14,-86.5
15,-87.0
16,-93.0
17,-29.7
18,-26.5
19,-57.0
20,-42.4
21,-63.0
22,-86.0
23,-20.599999999999998
24,-75.0
25,-45.9
26,-84.5
27,-74.5
28,-93.5
29,-73.0
30,-91.0
31,-92.0
32,-80.0
33,-98.5
34,-96.5
35,-49.5
36,-57.0
37,-100.0
38,-89.5
39,-93.5
40,-18.4
41,-98.5
42,-93.5
43,-61.0
44,-86.5
45,-85.5
46,-55.4
47,-64.5
48,-81.0
49,-45.2
50,-98.5
51,-61.0
52,-81.0
53,-79.0
54,-78.0
55,-89.5
56,-78.0
57,-98.5
58,-95.5
59,-50.0
60,-73.5
61,-70.2
62,-60.4
63,-85.5
64,-97.0
65,-81.0
66,-90.0
67,-88.0
68,-53.5
69,-55.0
70,-13.200000000000003
71,-88.5
72,-66.9
73,-54.0
74,-49.0
75,-55.0
76,-100.0
77,-92.5
78,-14.899999999999999
79,19.900000000000006
80,-65.5
81,-97.0
82,-73.5
83,-85.0
84,-78.0
85,-92.5
86,-10.5
87,-54.9
88,-66.9
89,-100.0
90,-100.0
91,-87.5
92,-86.7
93,-94.0
94,-96.0
95,-89.5
96,-71.0
97,-95.5
98,-98.5
99,-88.5
100,-87.0
