episode,reward
1,-76.60000000000007
2,-97.99999999999984
3,-77.49999999999994
4,-91.49999999999993
5,-97.99999999999983
6,-100.9999999999998
7,-96.49999999999983
8,-96.49999999999984
9,-93.19999999999987
10,-95.99999999999986
11,-96.49999999999987
12,-97.99999999999983
13,-100.9999999999998
14,-84.99999999999994
15,-56.50000000000029
16,-85.49999999999991
17,-64.60000000000011
18,-89.99999999999991
19,-56.000000000000156
20,-76.40000000000009
21,-59.000000000000185
22,-88.4999999999998
23,-58.40000000000027
24,-76.00000000000003
25,-56.10000000000021
26,-51.500000000000206
27,-25.999999999999957
28,-24.800000000000164
29,-70.00000000000006
30,-89.99999999999996
31,-85.59999999999998
32,-19.40000000000011
33,-40.500000000000064
34,-93.49999999999986
35,-83.49999999999984
36,-35.0
37,-32.000000000000135
38,-69.50000000000013
39,-2.8999999999999813
40,-80.19999999999996
41,-95.49999999999989
42,-46.49999999999998
43,-21.60000000000002
44,-25.099999999999987
45,-91.49999999999991
46,-58.00000000000015
47,-97.99999999999983
48,-82.99999999999997
49,-70.2000000000001
50,-81.50000000000003
51,-96.49999999999982
52,-91.49999999999991
53,-59.50000000000026
54,-89.99999999999993
55,-95.99999999999987
56,-22.89999999999992
57,-91.4999999999999
58,-97.99999999999982
59,-97.99999999999984
60,-74.00000000000004
61,-89.49999999999991
62,-84.49999999999986
63,-31.199999999999935
64,-73.50000000000001
65,-87.99999999999991
66,-96.49999999999986
67,-91.99999999999993
68,-84.50000000000001
69,-16.50000000000002
70,-73.50000000000016
71,-89.19999999999982
72,-100.9999999999998
73,-97.99999999999982
74,-70.20000000000022
75,-99.49999999999982
76,-82.99999999999993
77,-95.99999999999982
78,-79.49999999999996
79,-82.99999999999994
80,-88.49999999999994
81,-72.2000000000001
82,-65.30000000000017
83,-80.50000000000006
84,-82.0
85,-99.4999999999998
86,-100.9999999999998
87,-100.9999999999998
88,-92.99999999999987
89,-95.4999999999998
90,-97.49999999999986
91,-99.4999999999998
92,-97.4999999999998
93,-85.99999999999996
94,-32.49999999999993
95,-74.00000000000004
96,-84.69999999999995
97,-97.99999999999983
98,-83.50000000000004
99,-81.99999999999999
100,-87.49999999999999
