episode,reward
1,641.3000000000006
2,462.90000000000066
3,465.40000000000066
4,632.6000000000008
5,553.6000000000006
6,538.2000000000007
7,473.40000000000066
8,731.2000000000008
9,479.2000000000008
10,660.2000000000008
11,608.3000000000008
12,649.0000000000008
13,579.8000000000006
14,558.0000000000007
15,531.1000000000007
16,450.00000000000074
17,404.40000000000066
18,516.1000000000008
19,362.80000000000064
20,446.8000000000008
21,470.1000000000008
22,520.6000000000007
23,392.9000000000007
24,606.3000000000005
25,445.10000000000076
26,512.1000000000008
27,465.1000000000007
28,61.70000000000076
29,265.90000000000026
30,564.2000000000006
31,429.00000000000074
32,557.7000000000007
33,708.6000000000008
34,494.80000000000075
35,540.8000000000008
36,256.4100000000004
37,557.8000000000006
38,756.4000000000009
39,562.3000000000006
40,525.8000000000008
41,583.2000000000007
42,511.2000000000007
43,603.6000000000008
44,545.0000000000008
45,493.2000000000007
46,471.4000000000007
47,511.10000000000065
48,568.6000000000008
49,454.3000000000008
50,419.70000000000067
51,610.7000000000007
52,527.0000000000006
53,621.0000000000008
54,565.9000000000008
55,418.80000000000075
56,511.30000000000064
57,662.1000000000007
58,478.4000000000008
59,555.3000000000006
60,504.50000000000074
61,501.30000000000086
62,565.6000000000008
63,762.6000000000008
64,504.2000000000006
65,450.0000000000007
66,455.1000000000007
67,464.6000000000007
68,556.2000000000007
69,639.2000000000007
70,494.00000000000074
