episode,reward
1,-75.0
2,-96.5
3,-90.5
4,-89.5
5,-89.0
6,-65.7
7,-71.0
8,-92.0
9,-49.599999999999994
10,-58.0
11,-75.0
12,-75.0
13,-79.0
14,-65.0
15,-76.5
16,-95.5
17,-71.0
18,-0.5999999999999979
19,-36.0
20,-75.0
21,-97.0
22,-32.7
23,-89.0
24,-94.0
25,-94.0
26,-89.0
27,-97.5
28,-100.0
29,-82.0
30,-94.5
31,-79.0
32,46.1
33,-95.5
34,-87.0
35,-98.5
36,-100.0
37,-97.0
38,-95.5
39,-94.0
40,-98.5
41,-93.0
42,-95.0
43,-91.5
44,-100.0
45,-92.0
46,-89.5
47,-100.0
48,-87.0
49,-100.0
50,-91.5
51,-87.4
52,-93.0
53,-100.0
54,-77.4
55,-58.0
56,-77.0
57,-54.7
58,-70.5
59,-42.599999999999994
60,-89.4
61,-84.0
62,-88.5
63,-81.5
64,-81.0
65,-73.0
66,-66.9
67,-53.0
68,-67.5
69,-65.0
70,-73.5
71,-90.0
72,-91.0
73,-92.0
74,-82.0
75,-82.0
76,-100.0
77,-20.1
78,-72.5
79,-64.0
80,37.0
81,-82.5
82,-47.0
83,-48.5
84,-43.9
85,-93.0
86,-66.1
87,-77.0
88,-85.7
89,-89.1
90,-98.5
91,-100.0
92,-69.7
93,-71.0
94,-35.0
95,-98.5
96,-97.0
97,-82.5
98,-65.3
99,-91.5
100,-87.1
