episode,reward
1,-27.5
2,-48.0
3,-39.099999999999994
4,-95.5
5,-86.0
6,-100.0
7,-86.6
8,-97.0
9,-98.5
10,-18.0
11,0.0
12,0.0
13,5.5
14,-72.0
15,-79.5
16,-72.0
17,-100.0
18,-23.699999999999996
19,-66.0
20,-39.8
21,-71.5
22,-81.6
23,-77.0
24,-56.9
25,-40.0
26,-66.0
27,-92.0
28,-50.9
29,-77.9
30,-96.5
31,-93.5
32,-69.5
33,-15.5
34,-66.0
35,-98.5
36,-100.0
37,-98.5
38,-51.1
39,-89.0
40,-83.5
41,-84.0
42,-53.7
43,-86.0
44,-61.5
45,-59.8
46,-87.5
47,-84.5
48,-48.5
49,-46.2
50,-58.3
51,-44.0
52,-78.0
53,-82.7
54,-88.0
55,-96.0
56,-80.2
57,-45.4
58,-79.5
59,-76.0
60,-92.2
61,-28.5
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,-75.5
71,-77.4
72,-87.5
73,-78.0
74,-92.0
75,-88.5
76,-92.0
77,-98.5
78,-70.5
79,-66.0
80,-65.3
81,-91.0
82,-89.0
83,-100.0
84,-86.7
85,-100.0
86,-80.5
87,-79.5
88,-95.5
89,-97.0
90,-86.0
91,-61.0
92,-86.5
93,-72.6
94,-60.4
95,-97.0
96,-89.0
97,-84.0
98,-83.0
99,-65.1
100,-18.7
