episode,reward
1,-53.70000000000014
2,-39.500000000000064
3,-84.99999999999994
4,-89.49999999999987
5,-88.99999999999994
6,-61.50000000000026
7,-86.99999999999993
8,-51.400000000000055
9,-52.000000000000135
10,-70.40000000000012
11,-23.000000000000064
12,9.399999999999942
13,-92.99999999999991
14,-54.30000000000015
15,-80.69999999999987
16,-78.00000000000006
17,-47.90000000000007
18,-52.00000000000013
19,-32.500000000000306
20,-90.49999999999991
21,-97.99999999999982
22,-100.9999999999998
23,-91.49999999999983
24,-87.5
25,-90.9999999999998
26,-97.4999999999998
27,-97.99999999999983
28,-90.49999999999996
29,-99.4999999999998
30,-92.99999999999986
31,-90.9999999999999
32,-81.49999999999999
33,-87.99999999999993
34,17.69999999999978
35,-86.49999999999997
36,-86.9999999999999
37,-96.49999999999984
38,-99.4999999999998
39,-97.99999999999983
40,-100.9999999999998
41,-92.99999999999989
42,-100.9999999999998
43,-87.19999999999996
44,-100.9999999999998
45,-97.99999999999982
46,-92.99999999999989
47,-97.99999999999983
48,-99.4999999999998
49,-99.4999999999998
50,-97.99999999999983
51,-100.9999999999998
52,-97.9999999999998
53,-87.99999999999993
54,-100.9999999999998
55,-85.99999999999991
56,-93.49999999999983
57,-28.700000000000117
58,-55.7000000000002
59,-45.00000000000004
60,-76.00000000000006
61,-90.9999999999999
62,-73.8000000000001
63,-87.49999999999996
64,-80.00000000000001
65,-72.00000000000009
66,-88.69999999999989
67,-90.49999999999989
68,-41.30000000000006
69,-93.49999999999986
70,-88.99999999999989
71,-96.49999999999987
72,-93.9999999999999
73,-94.49999999999986
74,-86.19999999999992
75,-87.99999999999989
76,-86.49999999999993
77,-92.49999999999989
78,10.499999999999835
79,-89.99999999999984
80,-92.4999999999999
81,-89.99999999999991
82,-87.49999999999987
83,-6.799999999999999
84,-62.5000000000002
85,-67.00000000000016
86,-90.99999999999993
87,-47.200000000000145
88,-59.00000000000011
89,-95.9999999999998
90,-89.99999999999991
91,-100.9999999999998
92,-100.9999999999998
93,-83.99999999999989
94,-95.99999999999986
95,-92.4999999999999
96,-87.49999999999983
97,-5.100000000000276
98,-90.99999999999993
99,-97.9999999999998
100,-100.9999999999998
