episode,reward
1,-57.0
2,-93.5
3,-98.5
4,-100.0
5,-95.0
6,-93.5
7,-98.5
8,-85.5
9,-100.0
10,-100.0
11,-95.5
12,-74.5
13,-16.2
14,-70.0
15,-65.5
16,-23.5
17,-76.0
18,-79.0
19,-70.0
20,-80.0
21,-65.5
22,-100.0
23,-100.0
24,-98.5
25,-60.9
26,-62.0
27,-43.0
28,-4.299999999999997
29,-61.5
30,-91.0
31,-70.0
32,-70.5
33,-94.0
34,-75.5
35,-78.5
36,-43.6
37,-98.5
38,-86.2
39,-82.0
40,-57.4
41,-42.2
42,-45.3
43,-89.0
44,-67.0
45,-66.5
46,-86.0
47,-51.5
48,-87.5
49,-33.599999999999994
50,-84.0
51,-64.0
52,-78.0
53,-95.0
54,-81.5
55,-95.5
56,-56.7
57,-64.5
58,-78.0
59,-35.6
60,-88.0
61,-83.0
62,-95.5
63,3.0
64,-51.9
65,-68.5
66,-92.5
67,-100.0
68,-100.0
69,-89.5
70,-95.0
71,-92.0
72,-89.0
73,-97.0
74,-91.0
75,-73.0
76,-86.5
77,-66.5
78,-81.5
79,-73.7
80,-83.0
81,-86.7
82,-22.5
83,-47.199999999999996
84,-78.5
85,-76.0
86,-86.0
87,-86.5
88,-88.0
89,-82.5
90,-88.0
91,-85.0
92,-66.0
93,-86.0
94,-73.0
95,-68.5
96,-77.5
97,-10.899999999999999
98,-79.0
99,-82.5
100,54.300000000000004
