episode,reward
1,-95.9999999999998
2,-18.000000000000043
3,-93.4999999999999
4,-81.50000000000003
5,-84.49999999999989
6,-66.00000000000016
7,11.199999999999832
8,-76.70000000000005
9,-20.40000000000003
10,-68.50000000000014
11,-40.400000000000006
12,-81.5
13,-87.99999999999997
14,-63.90000000000021
15,-100.9999999999998
16,-100.9999999999998
17,-94.4999999999999
18,-74.00000000000004
19,-94.49999999999986
20,-99.4999999999998
21,-95.99999999999984
22,-100.9999999999998
23,-100.9999999999998
24,-52.700000000000045
25,-33.90000000000007
26,-74.00000000000001
27,-89.99999999999987
28,-82.99999999999997
29,-76.70000000000002
30,-40.600000000000115
31,-97.99999999999983
32,-95.99999999999982
33,-97.9999999999998
34,-99.49999999999982
35,-90.9999999999999
36,-81.99999999999991
37,-91.49999999999989
38,-99.49999999999983
39,-79.2
40,-81.99999999999989
41,-70.50000000000003
42,-63.200000000000166
43,-100.9999999999998
44,-91.6999999999998
45,-51.10000000000017
46,-91.49999999999987
47,-96.49999999999984
48,-85.49999999999997
49,-73.99999999999999
50,-14.100000000000005
51,-42.99999999999997
52,-87.9999999999999
53,-100.9999999999998
54,-97.99999999999982
55,-82.49999999999987
56,-97.49999999999986
57,-100.9999999999998
58,-78.50000000000006
59,-79.19999999999992
60,-97.99999999999983
61,-75.00000000000006
62,-47.000000000000185
63,-78.00000000000003
64,-97.49999999999986
65,-100.9999999999998
66,-74.00000000000013
67,-80.50000000000006
68,-87.49999999999994
69,-95.49999999999986
70,-54.10000000000023
71,-99.49999999999983
72,-87.99999999999994
73,-79.40000000000002
74,-97.99999999999984
75,-89.99999999999996
76,-100.9999999999998
77,-92.49999999999984
78,-99.4999999999998
79,-97.99999999999984
80,-95.49999999999987
81,-96.99999999999986
82,-90.99999999999989
83,-72.50000000000006
84,-95.99999999999982
85,-100.9999999999998
86,-24.899999999999956
87,-11.704999999999997
88,-0.085
89,-0.085
90,-0.085
91,-0.085
92,-34.494999999999976
93,-75.50000000000016
94,-99.49999999999983
95,-94.4999999999998
96,-91.9999999999999
97,-94.49999999999986
98,-93.49999999999983
99,-82.20000000000002
100,-94.99999999999987
