episode,reward
1,-62.0
2,-57.5
3,-49.2
4,-29.8
5,-51.5
6,-38.1
7,-43.900000000000006
8,-75.0
9,-92.5
10,-38.9
11,-41.7
12,-33.5
13,-73.2
14,-82.5
15,-95.0
16,-100.0
17,-87.5
18,-87.0
19,-48.5
20,-60.5
21,-74.5
22,-83.5
23,-80.2
24,-75.5
25,-68.7
26,-96.5
27,-97.0
28,-95.0
29,-98.5
30,-95.0
31,-83.5
32,-79.4
33,-84.5
34,-85.0
35,-93.5
36,-69.0
37,-100.0
38,-39.8
39,-55.2
40,-87.5
41,-74.2
42,-86.0
43,-78.7
44,-80.3
45,-68.0
46,-88.0
47,-62.0
48,-92.5
49,-79.5
50,-77.5
51,-54.4
52,-100.0
53,-97.0
54,-98.5
55,-95.0
56,-59.5
57,-95.5
58,-95.0
59,-56.4
60,-29.099999999999994
61,-78.5
62,-98.5
63,-93.5
64,-98.5
65,-63.0
66,-56.5
67,-70.4
68,-50.2
69,-89.5
70,-73.8
71,-68.0
72,-71.9
73,-88.5
74,-93.5
75,-87.0
76,-85.5
77,-54.7
78,-30.3
79,-76.0
80,-56.599999999999994
81,-60.7
82,-89.5
83,-81.2
84,-92.5
85,-83.0
86,-88.5
87,-93.5
88,-100.0
89,-96.5
90,-97.0
91,-79.5
92,-37.8
93,-38.5
94,-42.6
95,-20.1
96,-71.7
97,-61.0
98,-64.5
99,-95.0
100,-90.5
101,-44.0
