episode,reward
1,-41.0
2,-82.0
3,-51.099999999999994
4,3.8000000000000043
5,-71.4
6,-73.0
7,-47.5
8,-68.0
9,-100.0
10,-49.0
11,-75.3
12,-100.0
13,-97.0
14,-91.5
15,-93.5
16,-52.5
17,-75.1
18,-66.6
19,-94.5
20,-92.0
21,-90.5
22,-89.0
23,6.0
24,-30.299999999999997
25,-81.0
26,-75.0
27,-15.5
28,-27.9
29,-27.0
30,-63.7
31,-71.0
32,-75.5
33,-67.0
34,-78.5
35,-77.5
36,-83.5
37,-17.299999999999997
38,-18.9
39,-44.4
40,-89.5
41,-83.0
42,-80.5
43,-98.5
44,-76.0
45,-8.0
46,-56.0
47,-90.0
48,-83.0
49,2.200000000000003
50,-14.000000000000004
51,-34.0
52,-0.7000000000000002
53,0.0
54,0.0
55,-33.7
56,-87.0
57,-94.0
58,-88.0
59,-73.3
60,-77.5
61,-98.5
62,-84.0
63,-84.5
64,-100.0
65,-93.5
66,-68.5
67,-59.8
68,-87.0
69,-95.0
70,-97.0
71,-95.5
72,-85.0
73,-81.0
74,-86.7
75,-81.5
76,-93.2
77,-100.0
78,-93.5
79,-39.0
80,-100.0
81,-86.5
82,-85.6
83,-95.5
84,-85.5
85,-84.0
86,-81.0
87,-76.0
88,-78.0
89,-88.0
90,-97.0
91,-97.0
92,-90.0
93,-93.5
94,-100.0
95,-100.0
96,-96.5
97,-96.5
98,-89.0
99,-81.0
100,-87.7
101,-93.5
102,-32.5
103,-86.0
104,-77.0
105,-82.0
106,-79.5
107,-21.0
