episode,reward
1,-53.80000000000018
2,-95.99999999999983
3,-100.9999999999998
4,-63.2000000000002
5,-90.49999999999991
6,-100.9999999999998
7,-100.9999999999998
8,-89.49999999999991
9,-91.99999999999989
10,-99.49999999999982
11,-97.99999999999982
12,-90.9999999999999
13,-90.99999999999991
14,-100.9999999999998
15,-47.50000000000007
16,-48.500000000000085
17,-29.999999999999908
18,-24.999999999999954
19,-73.50000000000007
20,-88.79999999999981
21,-91.49999999999987
22,-86.99999999999996
23,-99.4999999999998
24,-71.00000000000011
25,-99.49999999999982
26,-84.00000000000001
27,-78.50000000000009
28,-83.49999999999987
29,-72.40000000000016
30,-72.00000000000003
31,-79.49999999999986
32,-4.000000000000044
33,-85.49999999999997
34,-85.49999999999999
35,-94.49999999999987
36,-95.99999999999986
37,-93.49999999999986
38,-59.60000000000017
39,-9.500000000000135
40,-73.00000000000001
41,-76.0000000000001
42,-86.99999999999993
43,-75.9000000000001
44,-66.50000000000026
45,-83.99999999999989
46,-100.9999999999998
47,24.49999999999995
48,-85.49999999999994
49,-88.49999999999984
50,-75.00000000000003
51,-99.49999999999983
52,-91.49999999999991
53,-97.49999999999983
54,-99.49999999999983
55,-25.399999999999963
56,-56.000000000000185
57,-85.49999999999993
58,-85.0
59,-84.49999999999984
60,-76.99999999999999
61,-78.0
62,-84.5
63,-61.90000000000025
64,-92.49999999999991
65,-64.70000000000027
66,-82.49999999999996
67,-90.49999999999984
68,-100.9999999999998
69,-99.49999999999982
70,-97.4999999999998
71,-99.49999999999983
72,-99.49999999999983
73,-97.99999999999984
74,-97.49999999999983
75,-76.50000000000006
76,-70.89999999999984
77,-55.00000000000013
78,-97.99999999999983
79,-71.70000000000009
80,-74.50000000000016
81,-39.699999999999974
82,-39.900000000000254
83,-91.49999999999991
84,-100.9999999999998
85,-99.4999999999998
86,-100.9999999999998
87,-100.9999999999998
88,-100.9999999999998
89,-100.9999999999998
90,-100.9999999999998
91,-100.9999999999998
92,-88.9999999999999
93,-100.9999999999998
94,-99.49999999999983
95,-97.4999999999998
96,-99.4999999999998
97,-100.9999999999998
98,-91.49999999999983
99,-85.99999999999993
100,-97.99999999999984
