episode,reward
1,481.00000000000074
2,564.2000000000006
3,498.60000000000076
4,505.40000000000066
5,477.10000000000065
6,541.2000000000007
7,396.0000000000006
8,449.7000000000006
9,564.6000000000007
10,593.0000000000007
11,570.0000000000008
12,539.4000000000008
13,424.5000000000007
14,522.1000000000008
15,487.7000000000008
16,440.00000000000074
17,636.2000000000007
18,674.4000000000008
19,562.6000000000007
20,601.0000000000008
21,454.2000000000007
22,529.4000000000008
23,499.0000000000008
24,577.6000000000007
25,531.8000000000008
26,649.0000000000009
27,479.60000000000076
28,563.0000000000008
29,589.0000000000008
30,487.60000000000076
31,631.8000000000006
32,534.8000000000008
33,426.8000000000007
34,577.6000000000008
35,659.7000000000008
36,423.5000000000006
37,531.5000000000007
38,463.50000000000074
39,523.7000000000007
40,443.40000000000066
41,503.4000000000008
42,508.10000000000076
43,657.3000000000006
44,549.4000000000008
45,444.5000000000006
46,585.4000000000007
47,565.3000000000008
48,554.4000000000008
49,544.6000000000007
50,680.9000000000008
51,412.4000000000007
52,480.5000000000007
53,631.8000000000009
54,521.2000000000007
55,502.4000000000007
56,604.5000000000008
57,439.2000000000008
58,516.0000000000007
59,519.4000000000008
60,663.1000000000008
61,552.7000000000007
62,549.4000000000008
63,507.8000000000007
64,560.6000000000007
65,541.4000000000007
66,604.0000000000008
67,500.4000000000007
68,496.60000000000076
69,592.6000000000007
70,464.80000000000064
71,432.6000000000007
72,455.7000000000007
73,602.2000000000007
74,594.8000000000009
75,596.8000000000008
76,600.8000000000005
77,493.9000000000007
78,412.4000000000006
79,559.4000000000007
80,445.80000000000075
81,571.0000000000008
82,573.6000000000007
83,565.8000000000008
84,573.4000000000007
85,583.1000000000008
86,620.8000000000008
87,521.0000000000008
88,623.5000000000008
89,454.8000000000007
90,668.4000000000008
91,509.00000000000074
92,530.6000000000007
93,545.6000000000008
94,500.1000000000007
95,579.7000000000006
96,514.0000000000008
97,472.0000000000007
