episode,reward
1,-71.99999999999984
2,-37.50000000000006
3,-24.89999999999996
4,-61.00000000000015
5,-71.50000000000007
6,-16.000000000000043
7,-50.5000000000001
8,-70.70000000000003
9,-94.4999999999998
10,-94.49999999999987
11,-87.49999999999994
12,-64.39999999999996
13,-73.00000000000013
14,-32.49999999999995
15,-89.1999999999999
16,-75.39999999999995
17,-58.20000000000012
18,-92.99999999999986
19,-70.49999999999987
20,-68.90000000000018
21,-94.4999999999998
22,-18.80000000000015
23,-26.50000000000007
24,-61.700000000000145
25,-91.4999999999999
26,-72.50000000000016
27,-31.700000000000003
28,-43.00000000000009
29,-38.500000000000085
30,-84.49999999999997
31,-80.99999999999997
32,-48.500000000000064
33,-35.99999999999999
34,-64.00000000000013
35,-94.4999999999998
36,-97.99999999999982
37,-92.99999999999987
38,-64.40000000000023
39,-72.5000000000001
40,-60.400000000000176
41,-61.50000000000002
42,-69.50000000000011
43,-60.30000000000019
44,-43.00000000000006
45,-90.4999999999999
46,-78.40000000000006
47,-87.49999999999996
48,-90.8999999999999
49,-67.00000000000014
50,-87.99999999999991
51,-7.49999999999998
52,-61.29999999999988
53,-90.99999999999993
54,-99.49999999999983
55,-57.0000000000002
56,-94.49999999999983
57,-78.70000000000009
58,-15.400000000000109
59,-10.499999999999982
60,-50.00000000000008
61,-96.49999999999984
62,-77.20000000000003
63,-98.49999999999983
64,-90.49999999999996
65,-64.20000000000024
66,-42.80000000000008
67,-61.50000000000021
68,-81.49999999999993
69,-79.89999999999998
70,-70.99999999999994
71,-86.49999999999994
72,-10.100000000000003
73,21.899999999999956
74,-83.49999999999994
75,-54.60000000000019
76,-88.99999999999991
77,-77.00000000000003
78,-77.49999999999983
79,-84.49999999999996
80,-56.40000000000006
81,-55.000000000000085
82,-88.49999999999991
83,-84.49999999999997
84,-76.49999999999993
85,-55.00000000000011
86,-87.49999999999991
87,-77.00000000000003
88,-100.9999999999998
89,-73.00000000000004
90,-74.0000000000001
91,-90.4999999999999
92,-94.49999999999987
93,-82.99999999999983
94,-87.99999999999993
95,-82.99999999999989
96,-86.99999999999993
97,-92.49999999999989
98,-100.9999999999998
99,-100.9999999999998
100,-100.9999999999998
